start_date,start_time,distance,distance_raw,short_unit,moving_time,elapsed_time
"Sat, 05/09/2020",2020-09-05T10:25:47+0000,7.34,7347.4,km,41:13:00,41:16:00
"Mon, 07/09/2020",2020-09-07T09:48:27+0000,6.27,6272.3,km,30:53:00,38:00:00
"Mon, 07/09/2020",2020-09-07T10:33:34+0000,4.1,4103.2,km,22:35,24:46:00
"Tue, 08/09/2020",2020-09-08T10:07:41+0000,3.93,3931.4,km,18:16,18:16
"Wed, 09/09/2020",2020-09-09T10:01:09+0000,9.96,9964.2,km,54:09:00,58:11:00
"Thu, 10/09/2020",2020-09-10T08:58:04+0000,12.24,12240.1,km,1:06:41,1:17:59
"Fri, 11/09/2020",2020-09-11T10:04:33+0000,3.95,3953.3,km,19:38,19:38
"Mon, 14/09/2020",2020-09-14T09:32:22+0000,6.23,6235.5,km,32:06:00,32:06:00
"Tue, 15/09/2020",2020-09-15T10:28:32+0000,10.01,10009.6,km,48:03:00,54:52:00
"Wed, 16/09/2020",2020-09-16T13:25:43+0000,5.29,5298.6,km,29:23:00,29:23:00
"Thu, 17/09/2020",2020-09-17T12:18:46+0000,12,12008.6,km,1:07:42,1:07:45
"Fri, 18/09/2020",2020-09-18T12:22:17+0000,10.01,10012.5,km,55:17:00,55:17:00
"Sun, 20/09/2020",2020-09-20T09:04:12+0000,5.42,5422.4,km,29:23:00,39:37:00
"Mon, 21/09/2020",2020-09-21T09:49:51+0000,3.95,3952.8,km,19:05,19:08
"Tue, 22/09/2020",2020-09-22T09:23:34+0000,7.08,7086.1,km,35:40:00,35:40:00
"Thu, 24/09/2020",2020-09-24T12:24:56+0000,10,10007.7,km,55:08:00,55:13:00
"Fri, 25/09/2020",2020-09-25T10:26:54+0000,10.06,10059.9,km,53:17:00,56:53:00
"Sat, 26/09/2020",2020-09-26T09:19:30+0000,12.17,12171.2,km,1:02:49,1:14:55
"Sun, 27/09/2020",2020-09-27T09:25:59+0000,1.21,1214,km,7:51,8:29
"Mon, 28/09/2020",2020-09-28T09:49:32+0000,3.95,3950.7,km,21:22,21:22
"Tue, 29/09/2020",2020-09-29T09:21:44+0000,21.21,21210.5,km,2:05:41,2:19:02
"Wed, 30/09/2020",2020-09-30T12:08:50+0000,6.07,6073.2,km,30:12:00,30:12:00
"Thu, 01/10/2020",2020-10-01T12:15:45+0000,5,5000.1,km,23:22,23:22
"Sat, 03/10/2020",2020-10-03T09:44:49+0000,9.93,9933.4,km,53:20:00,58:39:00
